temperature_outside_high,temperature_outside_low,temperature_inside,barometric_pressure,humidity_outside,humidity_inside,wind_speed,wind_direction_prevailing
24.78,24.72,26.89,1007.93,51.0,46.0,0.0,NNE
24.61,24.17,26.56,1007.72,49.0,44.0,0.0,ESE
24.17,23.67,26.22,1007.72,48.0,43.0,0.0,N
23.72,23.28,25.89,1007.62,48.0,42.0,0.0,N
23.28,22.94,25.67,1007.72,51.0,44.0,0.0,N
22.89,22.61,25.5,1007.89,51.0,44.0,0.0,N
22.61,22.33,25.33,1007.82,53.0,44.0,0.0,NONE
22.33,22.17,25.06,1007.72,53.0,45.0,0.0,NONE
22.17,22.0,24.83,1007.86,55.0,46.0,0.0,NONE
22.0,21.89,24.72,1007.93,58.0,48.0,0.0,NONE
21.94,21.89,24.83,1007.93,59.0,49.0,0.0,NONE
21.89,21.89,24.78,1007.93,56.0,48.0,0.0,NONE
21.89,21.78,24.72,1007.89,56.0,48.0,0.0,N
21.78,21.67,24.67,1007.96,55.0,47.0,0.0,NONE
21.67,21.5,24.56,1007.93,55.0,46.0,0.0,NONE
21.5,21.39,24.56,1007.89,57.0,48.0,0.0,N
21.39,21.28,24.5,1007.82,56.0,46.0,0.0,NONE
21.33,21.28,24.44,1007.93,59.0,48.0,0.0,NONE
21.28,21.28,24.56,1008.06,58.0,48.0,0.0,N
21.28,21.22,24.5,1007.96,58.0,47.0,0.0,NONE
21.28,21.22,24.56,1008.06,59.0,50.0,0.0,NNW
21.28,21.17,24.67,1008.06,57.0,47.0,0.0,SW
21.17,21.11,24.5,1008.23,58.0,47.0,0.0,NONE
21.11,21.11,24.44,1008.2,58.0,48.0,0.0,NONE
21.11,21.06,24.28,1008.33,59.0,48.0,0.0,NONE
21.11,21.06,24.17,1008.26,61.0,50.0,0.0,NONE
21.11,21.06,24.11,1008.16,59.0,49.0,0.0,NONE
21.06,21.0,24.0,1008.26,59.0,48.0,0.0,NONE
21.06,21.0,23.94,1008.23,61.0,50.0,0.0,NONE
21.06,21.0,23.94,1008.26,58.0,49.0,0.0,NONE
21.06,21.0,23.83,1008.26,58.0,49.0,0.0,NONE
21.0,20.94,23.78,1008.23,59.0,49.0,0.0,NONE
21.0,20.94,23.72,1008.13,60.0,50.0,0.0,NONE
21.0,20.94,23.72,1008.3,59.0,49.0,0.0,NONE
21.0,20.94,23.83,1008.26,64.0,52.0,0.0,NONE
21.17,21.0,24.06,1008.26,66.0,54.0,0.0,NONE
21.44,21.17,24.33,1008.16,63.0,53.0,0.0,NONE
21.67,21.44,24.5,1008.09,65.0,53.0,0.0,ESE
21.89,21.67,24.61,1007.99,65.0,55.0,0.0,ESE
22.06,21.89,24.78,1007.72,63.0,52.0,0.0,NONE
22.11,22.06,24.83,1007.69,65.0,54.0,0.0,NONE
22.28,22.11,24.89,1007.62,61.0,53.0,0.0,NONE
22.33,22.28,24.94,1007.55,66.0,54.0,0.0,NONE
22.44,22.33,25.0,1007.62,63.0,54.0,0.0,NONE
22.5,22.39,25.0,1007.59,68.0,56.0,0.0,NONE
22.56,22.44,25.06,1007.55,64.0,56.0,0.0,NONE
22.56,22.56,25.06,1007.45,66.0,55.0,0.0,SE
22.61,22.5,25.06,1007.62,69.0,58.0,0.0,NONE
22.61,22.56,25.17,1007.62,65.0,56.0,0.0,NONE
22.67,22.61,25.11,1007.55,68.0,58.0,0.0,SE
22.67,22.61,25.17,1007.42,65.0,55.0,0.0,NONE
22.67,22.61,25.17,1007.35,69.0,57.0,0.0,NONE
22.72,22.61,25.22,1007.42,66.0,58.0,0.0,NONE
22.72,22.67,25.28,1007.28,65.0,56.0,0.0,NONE
22.67,22.67,25.22,1007.42,68.0,57.0,0.0,ESE
22.72,22.67,25.28,1007.55,66.0,57.0,0.0,NONE
22.72,22.67,25.22,1007.65,68.0,57.0,0.0,NONE
22.72,22.67,25.22,1008.06,67.0,58.0,0.0,NONE
22.72,22.67,25.28,1008.3,67.0,56.0,0.0,NONE
22.78,22.67,25.33,1008.7,70.0,58.0,0.0,NONE
22.78,22.72,25.33,1008.67,64.0,55.0,0.0,ESE
22.72,22.67,25.28,1008.33,67.0,56.0,0.0,NONE
22.67,22.67,25.22,1008.26,69.0,58.0,0.0,NONE
22.72,22.67,25.28,1008.13,66.0,56.0,0.0,ESE
22.72,22.67,25.17,1008.06,69.0,58.0,0.0,NNE
22.72,22.72,25.22,1008.06,65.0,56.0,0.0,NONE
22.72,22.67,25.17,1008.23,68.0,57.0,0.0,WNW
22.72,22.67,25.17,1008.16,68.0,59.0,0.0,NONE
22.78,22.67,25.11,1008.06,67.0,56.0,0.0,NONE
22.72,22.67,25.06,1007.99,66.0,58.0,0.0,NONE
22.72,22.67,25.0,1007.93,67.0,57.0,0.0,NONE
22.72,22.67,24.94,1007.79,70.0,59.0,0.0,NONE
22.72,22.67,24.94,1007.38,65.0,57.0,0.0,NONE
22.72,22.61,24.89,1007.15,66.0,57.0,0.0,NONE
22.61,22.61,24.83,1006.88,69.0,58.0,0.0,NONE
22.61,22.61,24.83,1006.91,66.0,57.0,0.0,NONE
